Date,Open,High,Low,Close,Adj Close,Volume
2019-10-18,151500,153500,150000,150500,150500,245740
2019-10-21,151500,153500,149000,152000,152000,245735
2019-10-22,150500,154500,150500,154000,154000,360102
2019-10-23,152000,153500,151500,152500,152500,226744
2019-10-24,151500,153000,150500,153000,153000,224666
2019-10-25,151000,153500,151000,152500,152500,162510
2019-10-28,152500,158000,152500,157000,157000,335238
2019-10-29,157500,158000,152000,153000,153000,321007
2019-10-30,152000,154500,151500,154500,154500,290658
2019-10-31,159000,167000,157500,164000,164000,1409619
2019-11-01,166000,168500,164000,167000,167000,720358
2019-11-04,165500,167000,162000,164500,164500,455199
2019-11-05,164000,164500,159500,161500,161500,662116
2019-11-06,161500,164000,160500,161500,161500,332755
2019-11-07,162000,166500,161000,165500,165500,390866
2019-11-08,165000,165000,162000,163500,163500,306968
2019-11-11,163500,165000,162500,163000,163000,231149
2019-11-12,164000,164000,160000,162000,162000,236652
2019-11-13,158500,159000,156000,158000,158000,500221
2019-11-15,177000,179000,173000,173500,173500,886846
2019-11-18,177500,181500,172500,178500,178500,876975
2019-11-19,174500,176000,169500,170500,170500,1055749
2019-11-20,170500,174000,168000,169500,169500,602206
2019-11-21,169000,172500,168000,170000,170000,543754
2019-11-22,169500,171000,165500,167500,167500,481529
2019-11-25,168000,174500,167000,174000,174000,490795
2019-11-26,173500,175500,171500,173000,173000,774461
2019-11-27,175000,175500,172000,172500,172500,299949
2019-11-28,172500,174500,170000,173000,173000,252885
2019-11-29,173000,173500,168500,172000,172000,349615
2019-12-02,172500,175000,170000,171500,171500,275601
2019-12-03,170500,173500,168500,172000,172000,245675
2019-12-04,172000,175500,171000,174500,174500,228851
2019-12-05,173000,174000,170000,170500,170500,271499
2019-12-06,172000,174500,170500,174000,174000,208849
2019-12-09,174000,175500,173000,175000,175000,271990
2019-12-10,174500,175500,173000,174500,174500,215711
2019-12-11,175000,175500,173500,174000,174000,200711
2019-12-12,174500,176500,173000,175500,175500,609714
2019-12-13,177500,177500,173000,175500,175500,317833
2019-12-16,175000,180000,174000,179500,179500,335819
2019-12-17,180000,181000,178000,180500,180500,370752
2019-12-18,180000,180000,175000,178500,178500,310567
2019-12-19,175000,179500,175000,179000,179000,296857
2019-12-20,180000,187000,179500,183500,183500,560761
2019-12-23,185000,185500,182000,184000,184000,250256
2019-12-24,184000,184000,179000,182000,182000,193440
2019-12-26,181500,183000,179000,180500,180500,173426
